"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
0,121.12,"Private room","False","True",2,"False",0,0,6,69,1,5.73411665726125,0.437093979693461,222.88224309911,15.4934136641601,470.088502495484,8.41376509493967,-0.04975,51.5257
1,195.91,"Private room","False","True",2,"False",1,0,10,96,1,4.7889050473136,1.46405047731334,235.385841094638,16.3625875083453,530.13352488728,9.48846637106759,-0.08475,51.5421
2,193.33,"Private room","False","True",3,"False",1,0,10,95,1,4.59667713555968,0.450306190232929,268.913812002362,18.6932474809404,548.987610127198,9.82592164480122,-0.14585,51.54802
3,180.39,"Private room","False","True",2,"False",1,0,9,87,1,2.05476914884792,0.132670488767901,472.381314005968,32.8370667997068,1021.27106203542,18.2789725096672,-0.10611,51.52108
4,405.7,"Entire home/apt","False","False",3,"False",0,1,7,65,0,4.49127691409228,0.354107528653163,318.491469766737,22.1395837595198,692.775411195057,12.3994727426916,-0.18797,51.49399
5,354.19,"Entire home/apt","False","False",2,"False",0,1,9,93,0,4.46789400494947,0.350749431181239,321.86460036843,22.3740632183972,703.068563958491,12.583702241984,-0.18805,51.49473
6,430.4,"Private room","False","True",2,"True",0,1,10,97,1,1.78729513762798,0.253826700470866,509.098946338105,35.3894525733791,1071.72070948722,19.1819332937082,-0.11023,51.52023
7,244.83,"Private room","False","True",2,"False",0,1,9,88,1,2.43083613558313,0.546798608439432,412.057146814606,28.6436987536659,932.666192632527,16.6930997357827,-0.11644,51.52905
8,438.16,"Entire home/apt","False","False",4,"False",0,1,9,87,1,1.49044205292636,0.126230054215287,575.923336603751,40.0346764675973,1454.37942328787,26.0308575119331,-0.13621,51.52057
9,128.88,"Private room","False","True",2,"True",1,0,10,97,1,12.8066733243612,5.2924378619892,96.5362947792489,6.71061421413959,195.835896542531,3.5051213163453,0.03848,51.45827
10,315.62,"Entire home/apt","False","False",4,"False",1,0,8,89,2,7.72349057579443,1.29270121802389,158.17769515027,10.9955482739681,331.34466159174,5.93049209520278,-0.02747,51.53871
11,567.04,"Entire home/apt","False","False",2,"False",0,0,10,98,1,5.30102857270639,1.58897625809519,209.632192329474,14.5723509774668,467.600484357132,8.36923390547871,-0.16032,51.46531
